--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
048.425  000.322  000.322: require('octo.model.comment-metadata')
048.658  000.232  000.232: require('octo.model.thread-metadata')
049.940  000.246  000.246: require('octo.release')
049.952  001.293  001.047: require('octo.utils')
050.639  000.383  000.383: require('octo.ui.colors')
050.641  000.688  000.305: require('octo.ui.bubbles')
050.650  004.026  001.491: require('octo.ui.writers')
050.655  012.300  001.003: require('octo.model.octo-buffer')
052.439  000.394  000.394: require('octo.navigation')
052.687  000.247  000.247: require('octo.picker')
054.314  000.307  000.307: require('octo.reviews.renderer')
054.321  000.780  000.472: require('octo.reviews.file-panel')
054.894  000.572  000.572: require('octo.reviews.file-entry')
054.897  001.755  000.403: require('octo.reviews.layout')
055.147  000.249  000.249: require('octo.reviews.rev')
055.493  000.345  000.345: require('octo.reviews.thread-panel')
055.861  000.367  000.367: require('octo.ui.window')
056.076  000.214  000.214: require('octo.reviews.thread')
056.082  003.394  000.464: require('octo.reviews')
056.093  005.437  001.403: require('octo.commands')
056.308  000.214  000.214: require('octo.completion')
056.312  018.401  000.450: require('octo')
056.755  000.010  000.010: sourcing nvim_exec2() called at /Users/mustaphaf/.config/nvim/init.vim:547
056.759  000.001  000.001: sourcing nvim_exec2() called at /Users/mustaphaf/.config/nvim/init.vim:547
056.762  000.001  000.001: sourcing nvim_exec2() called at /Users/mustaphaf/.config/nvim/init.vim:547
056.764  000.001  000.001: sourcing nvim_exec2() called at /Users/mustaphaf/.config/nvim/init.vim:547
056.769  000.001  000.001: sourcing nvim_exec2() called at /Users/mustaphaf/.config/nvim/init.vim:547
056.907  000.002  000.002: sourcing nvim_exec2() called at /Users/mustaphaf/.config/nvim/init.vim:547
056.909  000.001  000.001: sourcing nvim_exec2() called at /Users/mustaphaf/.config/nvim/init.vim:547
056.912  000.001  000.001: sourcing nvim_exec2() called at /Users/mustaphaf/.config/nvim/init.vim:547
056.914  000.001  000.001: sourcing nvim_exec2() called at /Users/mustaphaf/.config/nvim/init.vim:547
056.916  000.001  000.001: sourcing nvim_exec2() called at /Users/mustaphaf/.config/nvim/init.vim:547
056.918  000.001  000.001: sourcing nvim_exec2() called at /Users/mustaphaf/.config/nvim/init.vim:547
056.920  000.001  000.001: sourcing nvim_exec2() called at /Users/mustaphaf/.config/nvim/init.vim:547
056.922  000.001  000.001: sourcing nvim_exec2() called at /Users/mustaphaf/.config/nvim/init.vim:547
056.924  000.001  000.001: sourcing nvim_exec2() called at /Users/mustaphaf/.config/nvim/init.vim:547
056.925  000.001  000.001: sourcing nvim_exec2() called at /Users/mustaphaf/.config/nvim/init.vim:547
060.433  000.358  000.358: require('telescope.log')
060.900  000.466  000.466: require('plenary.strings')
061.181  000.280  000.280: require('telescope.state')
061.185  001.614  000.511: require('telescope.utils')
061.187  001.922  000.308: require('telescope.previewers.previewer')
062.723  000.300  000.300: require('telescope.deprecated')
063.342  000.618  000.618: require('telescope.sorters')
064.183  002.470  001.551: require('telescope.config')
064.552  000.367  000.367: require('telescope.from_entry')
064.658  003.470  000.634: require('telescope.previewers.term_previewer')
066.152  000.384  000.384: require('plenary.context_manager')
067.568  000.338  000.338: require('nvim-treesitter.utils')
073.427  000.782  000.782: require('vim.treesitter.language')
073.920  000.491  000.491: require('vim.func')
074.334  000.411  000.411: require('vim.func._memoize')
074.364  002.364  000.679: require('vim.treesitter.query')
074.715  000.350  000.350: require('vim.treesitter._range')
074.723  003.727  001.013: require('vim.treesitter.languagetree')
074.726  004.313  000.586: require('vim.treesitter')
075.167  007.598  003.285: require('nvim-treesitter.parsers')
077.038  000.351  000.351: require('nvim-treesitter.compat')
077.894  000.531  000.531: require('nvim-treesitter.ts_utils')
077.898  000.859  000.329: require('nvim-treesitter.tsrange')
078.133  000.234  000.234: require('nvim-treesitter.caching')
078.140  001.930  000.485: require('nvim-treesitter.query')
078.150  002.529  000.600: require('nvim-treesitter.configs')
078.154  002.986  000.457: require('nvim-treesitter.info')
078.653  000.497  000.497: require('nvim-treesitter.shell_command_selectors')
078.670  012.219  000.799: require('nvim-treesitter.install')
079.040  000.369  000.369: require('nvim-treesitter.statusline')
080.602  001.561  001.561: require('nvim-treesitter.query_predicates')
080.605  014.451  000.302: require('nvim-treesitter')
080.610  015.220  000.385: require('telescope.previewers.utils')
082.966  002.355  002.355: require('plenary.filetype')
085.483  002.516  002.516: require('plenary.scandir')
085.573  020.914  000.823: require('telescope.previewers.buffer_previewer')
085.577  026.706  000.400: require('telescope.previewers')
085.950  000.371  000.371: require('octo.notifications')
086.874  000.924  000.924: require('octo.workflow_runs')
086.898  028.498  000.496: require('octo.pickers.telescope.previewers')
088.818  000.479  000.479: require('telescope.config.resolve')
088.819  000.922  000.443: require('telescope.pickers.entry_display')
088.829  001.930  001.008: require('octo.pickers.telescope.entry_maker')
090.939  000.454  000.454: require('plenary.window.border')
091.337  000.397  000.397: require('plenary.window')
091.699  000.361  000.361: require('plenary.popup.utils')
091.701  001.823  000.611: require('plenary.popup')
092.038  000.336  000.336: require('telescope.pickers.scroller')
092.345  000.306  000.306: require('telescope.actions.state')
092.720  000.374  000.374: require('telescope.actions.utils')
093.554  000.419  000.419: require('telescope.actions.mt')
093.575  000.853  000.434: require('telescope.actions.set')
093.826  004.996  001.304: require('telescope.actions')
094.995  000.748  000.748: require('telescope.make_entry')
096.955  000.275  000.275: require('plenary.tbl')
096.957  000.559  000.284: require('plenary.vararg.rotate')
096.958  000.815  000.256: require('plenary.vararg')
097.271  000.312  000.312: require('plenary.errors')
097.274  001.521  000.395: require('plenary.async.async')
098.551  000.277  000.277: require('plenary.async.structs')
098.555  000.600  000.323: require('plenary.async.control')
098.558  001.009  000.410: require('plenary.async.util')
098.559  001.284  000.274: require('plenary.async.tests')
098.560  003.239  000.434: require('plenary.async')
098.562  003.565  000.326: require('telescope.finders.async_static_finder')
099.584  000.270  000.270: require('plenary.class')
099.591  000.688  000.418: require('telescope._')
099.592  001.030  000.342: require('telescope.finders.async_oneshot_finder')
099.916  000.323  000.323: require('telescope.finders.async_job_finder')
099.919  006.091  000.425: require('telescope.finders')
101.496  000.305  000.305: require('telescope._extensions')
101.498  000.767  000.462: require('telescope')
101.861  000.362  000.362: require('telescope.debounce')
102.329  000.467  000.467: require('telescope.mappings')
